info,year 1,year 2,year 3,year 4,year 5,model year,model,engine,cost
Insurance,1544,1598,1654,1712,1772,2023,Acura 2023 TLX Sedan 4dr Sedan AWD w/Advance Package,2.0L 4cyl Turbo 10A,53096
Maintenance,86,440,386,2465,2049,2023,Acura 2023 TLX Sedan 4dr Sedan AWD w/Advance Package,2.0L 4cyl Turbo 10A,53096
Repairs,0,0,0,462,707,2023,Acura 2023 TLX Sedan 4dr Sedan AWD w/Advance Package,2.0L 4cyl Turbo 10A,53096
Taxes_Fees,3347,239,214,194,194,2023,Acura 2023 TLX Sedan 4dr Sedan AWD w/Advance Package,2.0L 4cyl Turbo 10A,53096
Financing,4197,3421,2566,1628,597,2023,Acura 2023 TLX Sedan 4dr Sedan AWD w/Advance Package,2.0L 4cyl Turbo 10A,53096
Depreciation,13282,3928,3209,3595,3141,2023,Acura 2023 TLX Sedan 4dr Sedan AWD w/Advance Package,2.0L 4cyl Turbo 10A,53096
Fuel,2756,2839,2924,3012,3102,2023,Acura 2023 TLX Sedan 4dr Sedan AWD w/Advance Package,2.0L 4cyl Turbo 10A,53096
Insurance,1394,1443,1493,1546,1600,2023,Acura Integra 4dr Hatchback w/A-Spec and Technology Packages,1.5L 4cyl Turbo 6M,37996
Maintenance,71,442,458,1003,1711,2023,Acura Integra 4dr Hatchback w/A-Spec and Technology Packages,1.5L 4cyl Turbo 6M,37996
Repairs,0,0,0,419,640,2023,Acura Integra 4dr Hatchback w/A-Spec and Technology Packages,1.5L 4cyl Turbo 6M,37996
Taxes_Fees,2400,171,153,139,139,2023,Acura Integra 4dr Hatchback w/A-Spec and Technology Packages,1.5L 4cyl Turbo 6M,37996
Financing,3005,2449,1838,1166,427,2023,Acura Integra 4dr Hatchback w/A-Spec and Technology Packages,1.5L 4cyl Turbo 6M,37996
Depreciation,7531,2139,1747,1958,1713,2023,Acura Integra 4dr Hatchback w/A-Spec and Technology Packages,1.5L 4cyl Turbo 6M,37996
Fuel,2205,2271,2339,2409,2482,2023,Acura Integra 4dr Hatchback w/A-Spec and Technology Packages,1.5L 4cyl Turbo 6M,37996
Insurance,1394,1443,1493,1546,1600,2023,Acura Integra 4dr Hatchback w/A-Spec and Technology Packages,1.5L 4cyl Turbo CVT,37996
Maintenance,71,442,458,1095,1711,2023,Acura Integra 4dr Hatchback w/A-Spec and Technology Packages,1.5L 4cyl Turbo CVT,37996
Repairs,0,0,0,419,640,2023,Acura Integra 4dr Hatchback w/A-Spec and Technology Packages,1.5L 4cyl Turbo CVT,37996
Taxes_Fees,2400,171,153,139,139,2023,Acura Integra 4dr Hatchback w/A-Spec and Technology Packages,1.5L 4cyl Turbo CVT,37996
Financing,3005,2449,1838,1166,427,2023,Acura Integra 4dr Hatchback w/A-Spec and Technology Packages,1.5L 4cyl Turbo CVT,37996
Depreciation,7531,2139,1747,1958,1713,2023,Acura Integra 4dr Hatchback w/A-Spec and Technology Packages,1.5L 4cyl Turbo CVT,37996
Fuel,2068,2130,2194,2260,2328,2023,Acura Integra 4dr Hatchback w/A-Spec and Technology Packages,1.5L 4cyl Turbo CVT,37996
Insurance,1394,1443,1493,1546,1600,2023,Acura Integra 4dr Hatchback w/A-SpecvPackage,1.5L 4cyl Turbo CVT,35517
Maintenance,71,442,458,1095,1711,2023,Acura Integra 4dr Hatchback w/A-SpecvPackage,1.5L 4cyl Turbo CVT,35517
Repairs,0,0,0,419,640,2023,Acura Integra 4dr Hatchback w/A-SpecvPackage,1.5L 4cyl Turbo CVT,35517
Taxes_Fees,2243,160,143,130,130,2023,Acura Integra 4dr Hatchback w/A-SpecvPackage,1.5L 4cyl Turbo CVT,35517
Financing,2809,2290,1717,1090,399,2023,Acura Integra 4dr Hatchback w/A-SpecvPackage,1.5L 4cyl Turbo CVT,35517
Depreciation,7454,1967,1608,1802,1576,2023,Acura Integra 4dr Hatchback w/A-SpecvPackage,1.5L 4cyl Turbo CVT,35517
Fuel,2007,2067,2129,2193,2258,2023,Acura Integra 4dr Hatchback w/A-SpecvPackage,1.5L 4cyl Turbo CVT,35517
Insurance,1394,1443,1493,1546,1600,2023,Acura Integra Hatchback 4dr Hatchback,1.5L 4cyl Turbo CVT,33473
Maintenance,71,442,458,1095,1601,2023,Acura Integra Hatchback 4dr Hatchback,1.5L 4cyl Turbo CVT,33473
Repairs,0,0,0,419,640,2023,Acura Integra Hatchback 4dr Hatchback,1.5L 4cyl Turbo CVT,33473
Taxes_Fees,2115,151,135,122,122,2023,Acura Integra Hatchback 4dr Hatchback,1.5L 4cyl Turbo CVT,33473
Financing,2648,2157,1619,1027,376,2023,Acura Integra Hatchback 4dr Hatchback,1.5L 4cyl Turbo CVT,33473
Depreciation,7035,1853,1514,1697,1485,2023,Acura Integra Hatchback 4dr Hatchback,1.5L 4cyl Turbo CVT,33473
Fuel,2007,2067,2129,2193,2258,2023,Acura Integra Hatchback 4dr Hatchback,1.5L 4cyl Turbo CVT,33473
Insurance,1347,1394,1443,1493,1546,2023,Acura MDX 4dr SUV,3.5L 6cyl 10A,50843
Maintenance,34,521,516,2107,976,2023,Acura MDX 4dr SUV,3.5L 6cyl 10A,50843
Repairs,0,0,0,365,556,2023,Acura MDX 4dr SUV,3.5L 6cyl 10A,50843
Taxes_Fees,3207,229,205,186,186,2023,Acura MDX 4dr SUV,3.5L 6cyl 10A,50843
Financing,4022,3277,2459,1560,571,2023,Acura MDX 4dr SUV,3.5L 6cyl 10A,50843
Depreciation,9719,4463,3646,4087,3570,2023,Acura MDX 4dr SUV,3.5L 6cyl 10A,50843
Fuel,3008,3098,3191,3287,3385,2023,Acura MDX 4dr SUV,3.5L 6cyl 10A,50843
Insurance,1362,1410,1459,1510,1563,2023,Acura MDX 4dr SUV AWD,3.5L 6cyl 10A,53016
Maintenance,34,521,516,2260,976,2023,Acura MDX 4dr SUV AWD,3.5L 6cyl 10A,53016
Repairs,0,0,0,409,624,2023,Acura MDX 4dr SUV AWD,3.5L 6cyl 10A,53016
Taxes_Fees,3344,238,214,194,194,2023,Acura MDX 4dr SUV AWD,3.5L 6cyl 10A,53016
Financing,4193,3418,2564,1626,596,2023,Acura MDX 4dr SUV AWD,3.5L 6cyl 10A,53016
Depreciation,12505,3899,3184,3571,3118,2023,Acura MDX 4dr SUV AWD,3.5L 6cyl 10A,53016
Fuel,3149,3243,3340,3441,3544,2023,Acura MDX 4dr SUV AWD,3.5L 6cyl 10A,53016
Insurance,1362,1410,1459,1510,1563,2023,Acura MDX 4dr SUV AWD w/Advance Package,3.5L 6cyl 10A,63973
Maintenance,34,521,516,2180,976,2023,Acura MDX 4dr SUV AWD w/Advance Package,3.5L 6cyl 10A,63973
Repairs,0,0,0,409,624,2023,Acura MDX 4dr SUV AWD w/Advance Package,3.5L 6cyl 10A,63973
Taxes_Fees,4033,288,258,234,234,2023,Acura MDX 4dr SUV AWD w/Advance Package,3.5L 6cyl 10A,63973
Financing,5060,4124,3094,1962,719,2023,Acura MDX 4dr SUV AWD w/Advance Package,3.5L 6cyl 10A,63973
Depreciation,14880,6525,5329,5977,5220,2023,Acura MDX 4dr SUV AWD w/Advance Package,3.5L 6cyl 10A,63973
Fuel,3149,3243,3340,3441,3544,2023,Acura MDX 4dr SUV AWD w/Advance Package,3.5L 6cyl 10A,63973
Insurance,1362,1410,1459,1510,1563,2023,Acura MDX 4dr SUV AWD w/A-Spec Package,3.5L 6cyl 10A,60900
Maintenance,34,521,516,2180,976,2023,Acura MDX 4dr SUV AWD w/A-Spec Package,3.5L 6cyl 10A,60900
Repairs,0,0,0,409,624,2023,Acura MDX 4dr SUV AWD w/A-Spec Package,3.5L 6cyl 10A,60900
Taxes_Fees,3840,274,245,223,223,2023,Acura MDX 4dr SUV AWD w/A-Spec Package,3.5L 6cyl 10A,60900
Financing,4817,3925,2946,1868,685,2023,Acura MDX 4dr SUV AWD w/A-Spec Package,3.5L 6cyl 10A,60900
Depreciation,12699,5878,4803,5385,4705,2023,Acura MDX 4dr SUV AWD w/A-Spec Package,3.5L 6cyl 10A,60900
