info,year 1,year 2,year 3,year 4,year 5,model year,model,engine,cost
Insurance,1452,1503,1555,1610,1666,2023,Audi A3 Premium 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,39413
Maintenance,273,953,904,2173,1183,2023,Audi A3 Premium 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,39413
Repairs,0,0,0,858,1310,2023,Audi A3 Premium 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,39413
Taxes_Fees,2646,188,169,153,153,2023,Audi A3 Premium 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,39413
Financing,3117,2541,1906,1209,443,2023,Audi A3 Premium 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,39413
Depreciation,9150,2798,2286,2562,2239,2023,Audi A3 Premium 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,39413
Fuel,1735,1787,1841,1896,1953,2023,Audi A3 Premium 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,39413
Insurance,1432,1482,1534,1588,1643,2023,Audi A3 Premium 4dr Sedan w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,37052
Maintenance,273,953,904,2173,1183,2023,Audi A3 Premium 4dr Sedan w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,37052
Repairs,0,0,0,812,1240,2023,Audi A3 Premium 4dr Sedan w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,37052
Taxes_Fees,2497,178,159,145,145,2023,Audi A3 Premium 4dr Sedan w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,37052
Financing,2931,2388,1792,1137,416,2023,Audi A3 Premium 4dr Sedan w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,37052
Depreciation,7720,2729,2230,2498,2184,2023,Audi A3 Premium 4dr Sedan w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,37052
